Type,Severity,Unit,Word Index,Word,Description,Suggestion
"missing_example","medium","15","10","naughty","Missing example for word "naughty"","Add a meaningful example sentence"
"missing_example","medium","15","11","orangutan","Missing example for word "orangutan"","Add a meaningful example sentence"
"missing_example","medium","15","12","overload","Missing example for word "overload"","Add a meaningful example sentence"
"missing_example","medium","15","13","philanthropy","Missing example for word "philanthropy"","Add a meaningful example sentence"
"missing_example","medium","15","14","probe","Missing example for word "probe"","Add a meaningful example sentence"
"missing_example","medium","15","15","recipient","Missing example for word "recipient"","Add a meaningful example sentence"
"missing_example","medium","15","16","reptile","Missing example for word "reptile"","Add a meaningful example sentence"
"missing_example","medium","15","17","thrive","Missing example for word "thrive"","Add a meaningful example sentence"
"missing_example","medium","15","18","ultimate","Missing example for word "ultimate"","Add a meaningful example sentence"
"missing_example","medium","16","","antique","Missing example for word "antique"","Add a meaningful example sentence"
"missing_example","medium","16","1","applicant","Missing example for word "applicant"","Add a meaningful example sentence"
"missing_example","medium","16","2","artifact","Missing example for word "artifact"","Add a meaningful example sentence"
"missing_example","medium","16","3","authentic","Missing example for word "authentic"","Add a meaningful example sentence"
"missing_example","medium","16","4","chronology","Missing example for word "chronology"","Add a meaningful example sentence"
"missing_example","medium","16","5","diplomat","Missing example for word "diplomat"","Add a meaningful example sentence"
"missing_example","medium","16","6","epic","Missing example for word "epic"","Add a meaningful example sentence"
"missing_example","medium","16","7","excerpt","Missing example for word "excerpt"","Add a meaningful example sentence"
"missing_example","medium","16","8","fossil","Missing example for word "fossil"","Add a meaningful example sentence"
"missing_example","medium","16","9","humiliate","Missing example for word "humiliate"","Add a meaningful example sentence"
"missing_example","medium","16","10","lyric","Missing example for word "lyric"","Add a meaningful example sentence"
"missing_example","medium","16","11","majesty","Missing example for word "majesty"","Add a meaningful example sentence"
"missing_example","medium","16","12","monarch","Missing example for word "monarch"","Add a meaningful example sentence"
"missing_example","medium","16","13","precede","Missing example for word "precede"","Add a meaningful example sentence"
"missing_example","medium","16","14","punctual","Missing example for word "punctual"","Add a meaningful example sentence"
"missing_example","medium","16","15","recruit","Missing example for word "recruit"","Add a meaningful example sentence"
"missing_example","medium","16","16","refund","Missing example for word "refund"","Add a meaningful example sentence"
"missing_example","medium","16","17","register","Missing example for word "register"","Add a meaningful example sentence"
"missing_example","medium","16","18","renown","Missing example for word "renown"","Add a meaningful example sentence"
"missing_example","medium","16","19","tusk","Missing example for word "tusk"","Add a meaningful example sentence"
"missing_example","medium","17","","coexist","Missing example for word "coexist"","Add a meaningful example sentence"
"missing_example","medium","17","1","conceive","Missing example for word "conceive"","Add a meaningful example sentence"
"missing_example","medium","17","2","dubious","Missing example for word "dubious"","Add a meaningful example sentence"
"missing_example","medium","17","3","ego","Missing example for word "ego"","Add a meaningful example sentence"
"missing_example","medium","17","4","endeavor","Missing example for word "endeavor"","Add a meaningful example sentence"
"missing_example","medium","17","5","engrave","Missing example for word "engrave"","Add a meaningful example sentence"
"missing_example","medium","17","6","excavate","Missing example for word "excavate"","Add a meaningful example sentence"
"missing_example","medium","17","7","jagged","Missing example for word "jagged"","Add a meaningful example sentence"
"missing_example","medium","17","8","locale","Missing example for word "locale"","Add a meaningful example sentence"
"missing_example","medium","17","9","magnitude","Missing example for word "magnitude"","Add a meaningful example sentence"
"missing_example","medium","17","10","mold","Missing example for word "mold"","Add a meaningful example sentence"
"missing_example","medium","17","11","periphery","Missing example for word "periphery"","Add a meaningful example sentence"
"missing_example","medium","17","12","plaster","Missing example for word "plaster"","Add a meaningful example sentence"
"missing_example","medium","17","13","shovel","Missing example for word "shovel"","Add a meaningful example sentence"
"missing_example","medium","17","14","thigh","Missing example for word "thigh"","Add a meaningful example sentence"
"missing_example","medium","18","","attic","Missing example for word "attic"","Add a meaningful example sentence"
"missing_example","medium","18","1","chunk","Missing example for word "chunk"","Add a meaningful example sentence"
"missing_example","medium","18","2","civic","Missing example for word "civic"","Add a meaningful example sentence"
"missing_example","medium","18","3","descent","Missing example for word "descent"","Add a meaningful example sentence"
"missing_example","medium","18","4","din","Missing example for word "din"","Add a meaningful example sentence"
"missing_example","medium","18","5","dissatisfy","Missing example for word "dissatisfy"","Add a meaningful example sentence"
"missing_example","medium","18","6","fuss","Missing example for word "fuss"","Add a meaningful example sentence"
"missing_example","medium","18","7","glamorous","Missing example for word "glamorous"","Add a meaningful example sentence"
"missing_example","medium","18","8","gourmet","Missing example for word "gourmet"","Add a meaningful example sentence"
"missing_example","medium","18","9","hence","Missing example for word "hence"","Add a meaningful example sentence"
"missing_example","medium","18","10","intrinsic","Missing example for word "intrinsic"","Add a meaningful example sentence"
"missing_example","medium","18","11","kettle","Missing example for word "kettle"","Add a meaningful example sentence"
"missing_example","medium","18","12","ministry","Missing example for word "ministry"","Add a meaningful example sentence"
"missing_example","medium","18","13","ordeal","Missing example for word "ordeal"","Add a meaningful example sentence"
"missing_example","medium","18","14","overwork","Missing example for word "overwork"","Add a meaningful example sentence"
"missing_example","medium","18","15","soundly","Missing example for word "soundly"","Add a meaningful example sentence"
"missing_example","medium","18","16","superintendent","Missing example for word "superintendent"","Add a meaningful example sentence"
"missing_example","medium","19","","congested","Missing example for word "congested"","Add a meaningful example sentence"
"missing_example","medium","19","1","courier","Missing example for word "courier"","Add a meaningful example sentence"
"missing_example","medium","19","2","deform","Missing example for word "deform"","Add a meaningful example sentence"
"missing_example","medium","19","3","etiquette","Missing example for word "etiquette"","Add a meaningful example sentence"
"missing_example","medium","19","4","exclusive","Missing example for word "exclusive"","Add a meaningful example sentence"
"missing_example","medium","19","5","freight","Missing example for word "freight"","Add a meaningful example sentence"
"missing_example","medium","19","6","garment","Missing example for word "garment"","Add a meaningful example sentence"
"missing_example","medium","19","7","insomnia","Missing example for word "insomnia"","Add a meaningful example sentence"
"missing_example","medium","19","8","intuitive","Missing example for word "intuitive"","Add a meaningful example sentence"
"missing_example","medium","19","9","premium","Missing example for word "premium"","Add a meaningful example sentence"
"missing_example","medium","19","10","privilege","Missing example for word "privilege"","Add a meaningful example sentence"
"missing_example","medium","19","11","propel","Missing example for word "propel"","Add a meaningful example sentence"
"missing_example","medium","19","12","socialize","Missing example for word "socialize"","Add a meaningful example sentence"
"missing_example","medium","19","13","tram","Missing example for word "tram"","Add a meaningful example sentence"
"missing_example","medium","20","","accumulate","Missing example for word "accumulate"","Add a meaningful example sentence"
"missing_example","medium","20","1","aerial","Missing example for word "aerial"","Add a meaningful example sentence"
"missing_example","medium","20","2","apparatus","Missing example for word "apparatus"","Add a meaningful example sentence"
"missing_example","medium","20","3","avalanche","Missing example for word "avalanche"","Add a meaningful example sentence"
"missing_example","medium","20","4","consistency","Missing example for word "consistency"","Add a meaningful example sentence"
"missing_example","medium","20","5","discharge","Missing example for word "discharge"","Add a meaningful example sentence"
"missing_example","medium","20","6","episode","Missing example for word "episode"","Add a meaningful example sentence"
"missing_example","medium","20","7","intact","Missing example for word "intact"","Add a meaningful example sentence"
"missing_example","medium","20","8","omen","Missing example for word "omen"","Add a meaningful example sentence"
"missing_example","medium","20","9","overcast","Missing example for word "overcast"","Add a meaningful example sentence"
"missing_example","medium","20","10","ranger","Missing example for word "ranger"","Add a meaningful example sentence"
"missing_example","medium","20","11","rubble","Missing example for word "rubble"","Add a meaningful example sentence"
"missing_example","medium","20","12","sober","Missing example for word "sober"","Add a meaningful example sentence"
"missing_example","medium","20","13","speck","Missing example for word "speck"","Add a meaningful example sentence"
"missing_example","medium","20","14","upbringing","Missing example for word "upbringing"","Add a meaningful example sentence"
"missing_example","medium","21","","bliss","Missing example for word "bliss"","Add a meaningful example sentence"
"missing_example","medium","21","1","butler","Missing example for word "butler"","Add a meaningful example sentence"
"missing_example","medium","21","2","cramp","Missing example for word "cramp"","Add a meaningful example sentence"
"missing_example","medium","21","3","decorate","Missing example for word "decorate"","Add a meaningful example sentence"
"missing_example","medium","21","4","dilapidated","Missing example for word "dilapidated"","Add a meaningful example sentence"
"missing_example","medium","21","5","evoke","Missing example for word "evoke"","Add a meaningful example sentence"
"missing_example","medium","21","6","faucet","Missing example for word "faucet"","Add a meaningful example sentence"
"missing_example","medium","21","7","filth","Missing example for word "filth"","Add a meaningful example sentence"
"missing_example","medium","21","8","flaw","Missing example for word "flaw"","Add a meaningful example sentence"
"missing_example","medium","21","9","grin","Missing example for word "grin"","Add a meaningful example sentence"
"missing_example","medium","21","10","housekeeping","Missing example for word "housekeeping"","Add a meaningful example sentence"
"missing_example","medium","21","11","mound","Missing example for word "mound"","Add a meaningful example sentence"
"missing_example","medium","21","12","numb","Missing example for word "numb"","Add a meaningful example sentence"
"missing_example","medium","21","13","reckless","Missing example for word "reckless"","Add a meaningful example sentence"
"missing_example","medium","21","14","slate","Missing example for word "slate"","Add a meaningful example sentence"
"missing_example","medium","21","15","stool","Missing example for word "stool"","Add a meaningful example sentence"
"missing_example","medium","21","16","testament","Missing example for word "testament"","Add a meaningful example sentence"
"missing_example","medium","21","17","timber","Missing example for word "timber"","Add a meaningful example sentence"
"missing_example","medium","21","18","valve","Missing example for word "valve"","Add a meaningful example sentence"
"missing_example","medium","22","","camouflage","Missing example for word "camouflage"","Add a meaningful example sentence"
"missing_example","medium","22","1","confront","Missing example for word "confront"","Add a meaningful example sentence"
"missing_example","medium","22","2","contemplate","Missing example for word "contemplate"","Add a meaningful example sentence"
"missing_example","medium","22","3","contend","Missing example for word "contend"","Add a meaningful example sentence"
"missing_example","medium","22","4","cot","Missing example for word "cot"","Add a meaningful example sentence"
"missing_example","medium","22","5","enlist","Missing example for word "enlist"","Add a meaningful example sentence"
"missing_example","medium","22","6","frontier","Missing example for word "frontier"","Add a meaningful example sentence"
"missing_example","medium","22","7","guerilla","Missing example for word "guerilla"","Add a meaningful example sentence"
"missing_example","medium","22","8","handbook","Missing example for word "handbook"","Add a meaningful example sentence"
"missing_example","medium","22","9","hesitant","Missing example for word "hesitant"","Add a meaningful example sentence"
"missing_example","medium","22","10","lush","Missing example for word "lush"","Add a meaningful example sentence"
"missing_example","medium","22","11","splendid","Missing example for word "splendid"","Add a meaningful example sentence"
"missing_example","medium","22","12","substantial","Missing example for word "substantial"","Add a meaningful example sentence"
"missing_example","medium","22","13","weary","Missing example for word "weary"","Add a meaningful example sentence"
"missing_example","medium","23","","amid","Missing example for word "amid"","Add a meaningful example sentence"
"missing_example","medium","23","1","backstage","Missing example for word "backstage"","Add a meaningful example sentence"
"missing_example","medium","23","2","billionaire","Missing example for word "billionaire"","Add a meaningful example sentence"
"missing_example","medium","23","3","brute","Missing example for word "brute"","Add a meaningful example sentence"
"missing_example","medium","23","4","clumsy","Missing example for word "clumsy"","Add a meaningful example sentence"
"missing_example","medium","23","5","collide","Missing example for word "collide"","Add a meaningful example sentence"
"missing_example","medium","23","6","culprit","Missing example for word "culprit"","Add a meaningful example sentence"
"missing_example","medium","23","7","evacuate","Missing example for word "evacuate"","Add a meaningful example sentence"
"missing_example","medium","23","8","flammable","Missing example for word "flammable"","Add a meaningful example sentence"
"missing_example","medium","23","9","premature","Missing example for word "premature"","Add a meaningful example sentence"
"missing_example","medium","23","10","resent","Missing example for word "resent"","Add a meaningful example sentence"
"missing_example","medium","23","11","satire","Missing example for word "satire"","Add a meaningful example sentence"
"missing_example","medium","23","12","scrutiny","Missing example for word "scrutiny"","Add a meaningful example sentence"
"missing_example","medium","23","13","segregate","Missing example for word "segregate"","Add a meaningful example sentence"
"missing_example","medium","23","14","tumult","Missing example for word "tumult"","Add a meaningful example sentence"
"missing_example","medium","23","15","uproar","Missing example for word "uproar"","Add a meaningful example sentence"
"missing_example","medium","24","","accelerate","Missing example for word "accelerate"","Add a meaningful example sentence"
"missing_example","medium","24","1","anew","Missing example for word "anew"","Add a meaningful example sentence"
"missing_example","medium","24","2","dreary","Missing example for word "dreary"","Add a meaningful example sentence"
"missing_example","medium","24","3","duplicate","Missing example for word "duplicate"","Add a meaningful example sentence"
"missing_example","medium","24","4","electromagnetic","Missing example for word "electromagnetic"","Add a meaningful example sentence"
"missing_example","medium","24","5","glide","Missing example for word "glide"","Add a meaningful example sentence"
"missing_example","medium","24","6","ingenious","Missing example for word "ingenious"","Add a meaningful example sentence"
"missing_example","medium","24","7","innovative","Missing example for word "innovative"","Add a meaningful example sentence"
"missing_example","medium","24","8","launch","Missing example for word "launch"","Add a meaningful example sentence"
"missing_example","medium","24","9","meteorological","Missing example for word "meteorological"","Add a meaningful example sentence"
"missing_example","medium","24","10","meteorology","Missing example for word "meteorology"","Add a meaningful example sentence"
"missing_example","medium","24","11","penetrate","Missing example for word "penetrate"","Add a meaningful example sentence"
"missing_example","medium","24","12","persistent","Missing example for word "persistent"","Add a meaningful example sentence"
"missing_example","medium","24","13","propulsion","Missing example for word "propulsion"","Add a meaningful example sentence"
"missing_example","medium","24","14","simulate","Missing example for word "simulate"","Add a meaningful example sentence"
"missing_example","medium","24","15","spur","Missing example for word "spur"","Add a meaningful example sentence"
"missing_example","medium","24","16","stimulate","Missing example for word "stimulate"","Add a meaningful example sentence"
"missing_example","medium","25","","beforehand","Missing example for word "beforehand"","Add a meaningful example sentence"
"missing_example","medium","25","1","blurred","Missing example for word "blurred"","Add a meaningful example sentence"
"missing_example","medium","25","2","centigrade","Missing example for word "centigrade"","Add a meaningful example sentence"
"missing_example","medium","25","3","chatter","Missing example for word "chatter"","Add a meaningful example sentence"
"missing_example","medium","25","4","concerto","Missing example for word "concerto"","Add a meaningful example sentence"
"missing_example","medium","25","5","deteriorate","Missing example for word "deteriorate"","Add a meaningful example sentence"
"missing_example","medium","25","6","zip","Missing example for word "zip"","Add a meaningful example sentence"
"missing_example","medium","26","","abolish","Missing example for word "abolish"","Add a meaningful example sentence"
"missing_example","medium","26","1","amend","Missing example for word "amend"","Add a meaningful example sentence"
"missing_example","medium","26","2","aspire","Missing example for word "aspire"","Add a meaningful example sentence"
"missing_example","medium","26","3","poll","Missing example for word "poll"","Add a meaningful example sentence"
"missing_example","medium","27","","coward","Missing example for word "coward"","Add a meaningful example sentence"
"missing_example","medium","27","1","delete","Missing example for word "delete"","Add a meaningful example sentence"
"missing_example","medium","27","2","exclude","Missing example for word "exclude"","Add a meaningful example sentence"
"missing_example","medium","27","3","patriot","Missing example for word "patriot"","Add a meaningful example sentence"
"missing_example","medium","27","4","prosecute","Missing example for word "prosecute"","Add a meaningful example sentence"
"missing_example","medium","27","5","undermine","Missing example for word "undermine"","Add a meaningful example sentence"
"missing_example","medium","28","","constrain","Missing example for word "constrain"","Add a meaningful example sentence"
"missing_example","medium","28","1","depot","Missing example for word "depot"","Add a meaningful example sentence"
"missing_example","medium","28","2","emulate","Missing example for word "emulate"","Add a meaningful example sentence"
"missing_example","medium","28","3","forefinger","Missing example for word "forefinger"","Add a meaningful example sentence"
"missing_example","medium","28","4","guts","Missing example for word "guts"","Add a meaningful example sentence"
"missing_example","medium","28","5","inherent","Missing example for word "inherent"","Add a meaningful example sentence"
"missing_example","medium","28","6","intimidate","Missing example for word "intimidate"","Add a meaningful example sentence"
"missing_example","medium","28","7","janitor","Missing example for word "janitor"","Add a meaningful example sentence"
"missing_example","medium","28","8","moist","Missing example for word "moist"","Add a meaningful example sentence"
"missing_example","medium","28","9","nope","Missing example for word "nope"","Add a meaningful example sentence"
"missing_example","medium","28","10","ransom","Missing example for word "ransom"","Add a meaningful example sentence"
"missing_example","medium","28","11","restrain","Missing example for word "restrain"","Add a meaningful example sentence"
"missing_example","medium","28","12","saliva","Missing example for word "saliva"","Add a meaningful example sentence"
"missing_example","medium","28","13","sprint","Missing example for word "sprint"","Add a meaningful example sentence"
"missing_example","medium","28","14","stunt","Missing example for word "stunt"","Add a meaningful example sentence"
"missing_example","medium","28","15","tolerant","Missing example for word "tolerant"","Add a meaningful example sentence"
"missing_example","medium","28","16","vampire","Missing example for word "vampire"","Add a meaningful example sentence"
"missing_example","medium","28","17","yawn","Missing example for word "yawn"","Add a meaningful example sentence"
"missing_example","medium","29","","adjoining","Missing example for word "adjoining"","Add a meaningful example sentence"
"missing_example","medium","29","1","allege","Missing example for word "allege"","Add a meaningful example sentence"
"missing_example","medium","29","2","arch","Missing example for word "arch"","Add a meaningful example sentence"
"missing_example","medium","29","3","assemble","Missing example for word "assemble"","Add a meaningful example sentence"
"missing_example","medium","29","4","casualty","Missing example for word "casualty"","Add a meaningful example sentence"
"missing_example","medium","29","5","hectare","Missing example for word "hectare"","Add a meaningful example sentence"
"missing_example","medium","29","6","heighten","Missing example for word "heighten"","Add a meaningful example sentence"
"missing_example","medium","29","7","hospitality","Missing example for word "hospitality"","Add a meaningful example sentence"
"missing_example","medium","29","8","mansion","Missing example for word "mansion"","Add a meaningful example sentence"
"missing_example","medium","29","9","outnumber","Missing example for word "outnumber"","Add a meaningful example sentence"
"missing_example","medium","29","10","overjoyed","Missing example for word "overjoyed"","Add a meaningful example sentence"
"missing_example","medium","29","11","pasture","Missing example for word "pasture"","Add a meaningful example sentence"
"missing_example","medium","29","12","petition","Missing example for word "petition"","Add a meaningful example sentence"
"missing_example","medium","29","13","renovate","Missing example for word "renovate"","Add a meaningful example sentence"
"missing_example","medium","29","14","revise","Missing example for word "revise"","Add a meaningful example sentence"
"missing_example","medium","29","15","slab","Missing example for word "slab"","Add a meaningful example sentence"
"missing_example","medium","29","16","terrace","Missing example for word "terrace"","Add a meaningful example sentence"
"missing_example","medium","29","17","turf","Missing example for word "turf"","Add a meaningful example sentence"
"missing_example","medium","30","","analogous","Missing example for word "analogous"","Add a meaningful example sentence"
"missing_example","medium","30","1","binoculars","Missing example for word "binoculars"","Add a meaningful example sentence"
"missing_example","medium","30","2","comprise","Missing example for word "comprise"","Add a meaningful example sentence"
"missing_example","medium","30","3","depict","Missing example for word "depict"","Add a meaningful example sentence"
"missing_example","medium","30","4","dual","Missing example for word "dual"","Add a meaningful example sentence"
"missing_example","medium","30","5","Fahrenheit","Missing example for word "Fahrenheit"","Add a meaningful example sentence"
"missing_example","medium","30","6","grove","Missing example for word "grove"","Add a meaningful example sentence"
"missing_example","medium","30","7","ore","Missing example for word "ore"","Add a meaningful example sentence"
"missing_example","medium","30","8","paradox","Missing example for word "paradox"","Add a meaningful example sentence"
"missing_example","medium","30","9","pier","Missing example for word "pier"","Add a meaningful example sentence"
"missing_example","medium","30","10","thermometer","Missing example for word "thermometer"","Add a meaningful example sentence"
"missing_example","medium","30","11","tilt","Missing example for word "tilt"","Add a meaningful example sentence"
"pos_inconsistency","medium","7","7","finance","Invalid part of speech "n/v" for word "finance"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","11","5","gossip","Invalid part of speech "n/v" for word "gossip"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","12","5","combat","Invalid part of speech "n/v" for word "combat"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","12","11","nick","Invalid part of speech "n/v" for word "nick"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","12","13","reign","Invalid part of speech "n/v" for word "reign"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","12","14","rust","Invalid part of speech "n/v" for word "rust"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","13","2","drill","Invalid part of speech "n/v" for word "drill"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","14","1","inward","Invalid part of speech "adj/adv" for word "inward"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","16","16","refund","Invalid part of speech "n/v" for word "refund"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","17","10","mold","Invalid part of speech "n/v" for word "mold"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","17","12","plaster","Invalid part of speech "n/v" for word "plaster"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","22","","camouflage","Invalid part of speech "n/v" for word "camouflage"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","23","1","backstage","Invalid part of speech "adv/n" for word "backstage"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","26","3","poll","Invalid part of speech "n/v" for word "poll"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","28","14","stunt","Invalid part of speech "n/v" for word "stunt"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","29","2","arch","Invalid part of speech "n/v" for word "arch"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"pos_inconsistency","medium","29","12","petition","Invalid part of speech "n/v" for word "petition"","Use one of: adj, adv, n, v, prep, conj, interj, adj/n, v/n, n/adj, v/adj"
"word_length","low","24","","electromagnetic","Very long word "electromagnetic" (15 characters)","Verify spelling and consider if it's appropriate for the level"
"unit_completeness","medium","13","","","Unit 13 has only 3 words","Consider adding more words to reach target count"
"unit_completeness","medium","14","","","Unit 14 has only 3 words","Consider adding more words to reach target count"
"unit_completeness","medium","25","","","Unit 25 has only 7 words","Consider adding more words to reach target count"
"unit_completeness","medium","26","","","Unit 26 has only 4 words","Consider adding more words to reach target count"
"unit_completeness","medium","27","","","Unit 27 has only 6 words","Consider adding more words to reach target count"